<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,60,20210220,230000,512.5500000
ROSN,60,20210221,000000,513.1500000
ROSN,60,20210222,110000,510.8000000
ROSN,60,20210222,120000,511.0000000
ROSN,60,20210222,130000,514.0000000
ROSN,60,20210222,140000,514.1000000
ROSN,60,20210222,150000,512.6000000
ROSN,60,20210222,160000,513.6000000
ROSN,60,20210222,170000,515.4500000
ROSN,60,20210222,180000,514.9000000
ROSN,60,20210222,190000,511.3500000
ROSN,60,20210222,200000,514.4000000
ROSN,60,20210222,210000,515.2000000
ROSN,60,20210222,220000,517.0000000
ROSN,60,20210222,230000,515.9000000
ROSN,60,20210223,000000,516.0000000
ROSN,60,20210224,110000,514.7500000
ROSN,60,20210224,120000,515.9000000
ROSN,60,20210224,130000,516.7000000
ROSN,60,20210224,140000,516.9000000
ROSN,60,20210224,150000,517.3000000
ROSN,60,20210224,160000,515.5000000
ROSN,60,20210224,170000,512.7000000
ROSN,60,20210224,180000,513.8500000
ROSN,60,20210224,190000,516.8000000
ROSN,60,20210224,200000,515.9000000
ROSN,60,20210224,210000,516.5000000
ROSN,60,20210224,220000,517.3000000
ROSN,60,20210224,230000,517.3000000
ROSN,60,20210225,000000,518.2500000
ROSN,60,20210225,110000,521.0000000
ROSN,60,20210225,120000,518.5500000
ROSN,60,20210225,130000,520.9500000
ROSN,60,20210225,140000,522.0000000
ROSN,60,20210225,150000,522.3000000
ROSN,60,20210225,160000,528.6500000
ROSN,60,20210225,170000,531.7000000
ROSN,60,20210225,180000,533.9000000
ROSN,60,20210225,190000,534.8000000
ROSN,60,20210225,200000,531.2000000
ROSN,60,20210225,210000,528.7500000
ROSN,60,20210225,220000,529.3500000
ROSN,60,20210225,230000,529.8000000
ROSN,60,20210226,000000,529.3500000
ROSN,60,20210226,110000,525.5500000
ROSN,60,20210226,120000,529.9000000
ROSN,60,20210226,130000,527.9000000
ROSN,60,20210226,140000,526.9500000
ROSN,60,20210226,150000,526.0000000
ROSN,60,20210226,160000,528.6500000
ROSN,60,20210226,170000,527.0000000
ROSN,60,20210226,180000,525.5000000
ROSN,60,20210226,190000,525.9000000
ROSN,60,20210226,200000,523.3500000
ROSN,60,20210226,210000,523.1000000
ROSN,60,20210226,220000,523.3500000
ROSN,60,20210226,230000,523.6000000
ROSN,60,20210227,000000,523.3500000
